,leiden_subclusters,labels
1454,2,CD8 T cells
1455,3,Transitional B cells
1456,"12,0",NKT cells
1457,"20,1",Ly6-low monocytes
1458,26,Neutrophils
1459,"10,1",ICOS-high Tregs
1460,7,Mature B cells
1461,26,Neutrophils
1462,0,CD4 T cells
1463,26,Neutrophils
1464,27,Activated CD4 T cells
1465,13,B1 B cells
1466,2,CD8 T cells
1467,1,Mature B cells
1468,7,Mature B cells
1469,0,CD4 T cells
1470,3,Transitional B cells
1471,6,CD122+ CD8 T cells
1472,8,Ifit3-high B cells
1473,2,CD8 T cells
1474,1,Mature B cells
1475,0,CD4 T cells
1476,6,CD122+ CD8 T cells
1477,"16,2",Red-pulp macrophages
1478,8,Ifit3-high B cells
1479,0,CD4 T cells
1480,3,Transitional B cells
1481,14,Ifit3-high CD4 T cells
1482,0,CD4 T cells
1483,0,CD4 T cells
1484,23,T doublets
1485,2,CD8 T cells
1486,0,CD4 T cells
1487,13,B1 B cells
1488,9,Mature B cells
1489,23,T doublets
1490,1,Mature B cells
1491,4,Mature B cells
1492,9,Mature B cells
1493,13,B1 B cells
1494,"12,0",NKT cells
1495,8,Ifit3-high B cells
1496,7,Mature B cells
1497,19,Cycling B/T cells
1498,14,Ifit3-high CD4 T cells
1499,"16,2",Red-pulp macrophages
1500,0,CD4 T cells
1501,3,Transitional B cells
1502,0,CD4 T cells
1503,0,CD4 T cells
1504,1,Mature B cells
1505,0,CD4 T cells
1506,2,CD8 T cells
1507,6,CD122+ CD8 T cells
1508,8,Ifit3-high B cells
1509,3,Transitional B cells
1510,8,Ifit3-high B cells
1511,4,Mature B cells
1512,13,B1 B cells
1513,0,CD4 T cells
1514,2,CD8 T cells
1515,"24,0",B-CD8 T cell doublets
1516,5,Mature B cells
1517,18,Ifit3-high CD8 T cells
1518,2,CD8 T cells
1519,0,CD4 T cells
1520,"10,1",ICOS-high Tregs
1521,13,B1 B cells
1522,3,Transitional B cells
1523,6,CD122+ CD8 T cells
1524,13,B1 B cells
1525,0,CD4 T cells
1526,6,CD122+ CD8 T cells
1527,13,B1 B cells
1528,0,CD4 T cells
1529,7,Mature B cells
1530,3,Transitional B cells
1531,11,MZ B cells
1532,0,CD4 T cells
1533,0,CD4 T cells
1534,3,Transitional B cells
1535,2,CD8 T cells
1536,0,CD4 T cells
1537,6,CD122+ CD8 T cells
1538,5,Mature B cells
1539,8,Ifit3-high B cells
1540,2,CD8 T cells
1541,0,CD4 T cells
1542,14,Ifit3-high CD4 T cells
1543,19,Cycling B/T cells
1544,8,Ifit3-high B cells
1545,6,CD122+ CD8 T cells
1546,0,CD4 T cells
1547,28,pDCs
1548,3,Transitional B cells
1549,4,Mature B cells
1550,4,Mature B cells
1551,3,Transitional B cells
1552,7,Mature B cells
1553,8,Ifit3-high B cells
1554,0,CD4 T cells
1555,4,Mature B cells
1556,2,CD8 T cells
1557,5,Mature B cells
1558,1,Mature B cells
1559,14,Ifit3-high CD4 T cells
1560,4,Mature B cells
1561,8,Ifit3-high B cells
1562,1,Mature B cells
1563,13,B1 B cells
1564,2,CD8 T cells
1565,8,Ifit3-high B cells
1566,3,Transitional B cells
1567,0,CD4 T cells
1568,13,B1 B cells
1569,0,CD4 T cells
1570,8,Ifit3-high B cells
1571,2,CD8 T cells
1572,0,CD4 T cells
1573,6,CD122+ CD8 T cells
1574,1,Mature B cells
1575,9,Mature B cells
1576,"15,1",cDC1s
1577,3,Transitional B cells
1578,4,Mature B cells
1579,4,Mature B cells
1580,8,Ifit3-high B cells
1581,3,Transitional B cells
1582,1,Mature B cells
1583,6,CD122+ CD8 T cells
1584,0,CD4 T cells
1585,8,Ifit3-high B cells
1586,3,Transitional B cells
1587,9,Mature B cells
1588,4,Mature B cells
1589,1,Mature B cells
1590,2,CD8 T cells
1591,3,Transitional B cells
1592,"15,1",cDC1s
1593,0,CD4 T cells
1594,8,Ifit3-high B cells
1595,0,CD4 T cells
1596,1,Mature B cells
1597,2,CD8 T cells
1598,4,Mature B cells
1599,3,Transitional B cells
1600,3,Transitional B cells
1601,21,B doublets
1602,11,MZ B cells
1603,4,Mature B cells
1604,11,MZ B cells
1605,2,CD8 T cells
1606,1,Mature B cells
1607,0,CD4 T cells
1608,0,CD4 T cells
1609,6,CD122+ CD8 T cells
1610,1,Mature B cells
1611,11,MZ B cells
1612,6,CD122+ CD8 T cells
1613,"12,0",NKT cells
1614,6,CD122+ CD8 T cells
1615,"10,1",ICOS-high Tregs
1616,3,Transitional B cells
1617,13,B1 B cells
1618,0,CD4 T cells
1619,9,Mature B cells
1620,11,MZ B cells
1621,"16,1",MZ/Marco-high macrophages
1622,1,Mature B cells
1623,8,Ifit3-high B cells
1624,0,CD4 T cells
1625,9,Mature B cells
1626,"24,0",B-CD8 T cell doublets
1627,1,Mature B cells
1628,3,Transitional B cells
1629,4,Mature B cells
1630,14,Ifit3-high CD4 T cells
1631,11,MZ B cells
1632,23,T doublets
1633,3,Transitional B cells
1634,"12,0",NKT cells
1635,14,Ifit3-high CD4 T cells
1636,23,T doublets
1637,13,B1 B cells
1638,"10,1",ICOS-high Tregs
1639,0,CD4 T cells
1640,1,Mature B cells
1641,"15,1",cDC1s
1642,0,CD4 T cells
1643,3,Transitional B cells
1644,7,Mature B cells
1645,1,Mature B cells
1646,1,Mature B cells
1647,19,Cycling B/T cells
1648,8,Ifit3-high B cells
1649,9,Mature B cells
1650,0,CD4 T cells
1651,0,CD4 T cells
1652,1,Mature B cells
1653,"15,1",cDC1s
1654,7,Mature B cells
1655,4,Mature B cells
1656,8,Ifit3-high B cells
1657,2,CD8 T cells
1658,1,Mature B cells
1659,"12,0",NKT cells
1660,6,CD122+ CD8 T cells
1661,2,CD8 T cells
1662,0,CD4 T cells
1663,6,CD122+ CD8 T cells
1664,4,Mature B cells
1665,28,pDCs
1666,18,Ifit3-high CD8 T cells
1667,2,CD8 T cells
1668,0,CD4 T cells
1669,5,Mature B cells
1670,6,CD122+ CD8 T cells
1671,"15,1",cDC1s
1672,7,Mature B cells
1673,14,Ifit3-high CD4 T cells
1674,6,CD122+ CD8 T cells
1675,1,Mature B cells
1676,0,CD4 T cells
1677,7,Mature B cells
1678,5,Mature B cells
1679,3,Transitional B cells
1680,0,CD4 T cells
1681,11,MZ B cells
1682,3,Transitional B cells
1683,2,CD8 T cells
1684,1,Mature B cells
1685,9,Mature B cells
1686,2,CD8 T cells
1687,0,CD4 T cells
1688,1,Mature B cells
1689,1,Mature B cells
1690,7,Mature B cells
1691,6,CD122+ CD8 T cells
1692,"10,0",Tregs
1693,"16,0",B-macrophage doublets
1694,7,Mature B cells
1695,6,CD122+ CD8 T cells
1696,6,CD122+ CD8 T cells
1697,"10,1",ICOS-high Tregs
1698,0,CD4 T cells
1699,6,CD122+ CD8 T cells
1700,1,Mature B cells
1701,7,Mature B cells
1702,5,Mature B cells
1703,6,CD122+ CD8 T cells
1704,2,CD8 T cells
1705,4,Mature B cells
1706,0,CD4 T cells
1707,5,Mature B cells
1708,0,CD4 T cells
1709,8,Ifit3-high B cells
1710,1,Mature B cells
1711,19,Cycling B/T cells
1712,19,Cycling B/T cells
1713,1,Mature B cells
1714,6,CD122+ CD8 T cells
1715,0,CD4 T cells
1716,7,Mature B cells
1717,4,Mature B cells
1718,6,CD122+ CD8 T cells
1719,3,Transitional B cells
1720,2,CD8 T cells
1721,"10,0",Tregs
1722,2,CD8 T cells
1723,0,CD4 T cells
1724,1,Mature B cells
1725,"16,0",B-macrophage doublets
1726,2,CD8 T cells
1727,1,Mature B cells
1728,"15,1",cDC1s
1729,5,Mature B cells
1730,2,CD8 T cells
1731,2,CD8 T cells
1732,"24,0",B-CD8 T cell doublets
1733,0,CD4 T cells
1734,3,Transitional B cells
1735,0,CD4 T cells
1736,1,Mature B cells
1737,0,CD4 T cells
1738,1,Mature B cells
1739,1,Mature B cells
1740,1,Mature B cells
1741,4,Mature B cells
1742,4,Mature B cells
1743,14,Ifit3-high CD4 T cells
1744,"10,1",ICOS-high Tregs
1745,11,MZ B cells
1746,0,CD4 T cells
1747,0,CD4 T cells
1748,0,CD4 T cells
1749,9,Mature B cells
1750,3,Transitional B cells
1751,"10,1",ICOS-high Tregs
1752,0,CD4 T cells
1753,"16,2",Red-pulp macrophages
1754,3,Transitional B cells
1755,2,CD8 T cells
1756,2,CD8 T cells
1757,"12,0",NKT cells
1758,2,CD8 T cells
1759,"10,2",Tregs
1760,2,CD8 T cells
1761,0,CD4 T cells
1762,1,Mature B cells
1763,"15,1",cDC1s
1764,"10,0",Tregs
1765,4,Mature B cells
1766,1,Mature B cells
1767,2,CD8 T cells
1768,8,Ifit3-high B cells
1769,1,Mature B cells
1770,1,Mature B cells
1771,1,Mature B cells
1772,14,Ifit3-high CD4 T cells
1773,28,pDCs
1774,6,CD122+ CD8 T cells
1775,6,CD122+ CD8 T cells
1776,1,Mature B cells
1777,1,Mature B cells
1778,"12,0",NKT cells
1779,"12,0",NKT cells
1780,3,Transitional B cells
1781,3,Transitional B cells
1782,0,CD4 T cells
1783,21,B doublets
1784,4,Mature B cells
1785,4,Mature B cells
1786,"12,0",NKT cells
1787,22,GD T cells
1788,3,Transitional B cells
1789,9,Mature B cells
1790,6,CD122+ CD8 T cells
1791,0,CD4 T cells
1792,1,Mature B cells
1793,4,Mature B cells
1794,1,Mature B cells
1795,27,Activated CD4 T cells
1796,0,CD4 T cells
1797,1,Mature B cells
1798,7,Mature B cells
1799,6,CD122+ CD8 T cells
1800,25,B-CD4 T cell doublets
1801,1,Mature B cells
1802,0,CD4 T cells
1803,3,Transitional B cells
1804,3,Transitional B cells
1805,6,CD122+ CD8 T cells
1806,3,Transitional B cells
1807,8,Ifit3-high B cells
1808,9,Mature B cells
1809,3,Transitional B cells
1810,11,MZ B cells
1811,8,Ifit3-high B cells
1812,9,Mature B cells
1813,0,CD4 T cells
1814,0,CD4 T cells
1815,4,Mature B cells
1816,22,GD T cells
1817,27,Activated CD4 T cells
1818,6,CD122+ CD8 T cells
1819,3,Transitional B cells
1820,7,Mature B cells
1821,"12,1",NK cells
1822,0,CD4 T cells
1823,11,MZ B cells
1824,0,CD4 T cells
1825,0,CD4 T cells
1826,8,Ifit3-high B cells
1827,4,Mature B cells
1828,4,Mature B cells
1829,2,CD8 T cells
1830,2,CD8 T cells
1831,4,Mature B cells
1832,8,Ifit3-high B cells
1833,0,CD4 T cells
1834,0,CD4 T cells
1835,4,Mature B cells
1836,0,CD4 T cells
1837,"20,0",Ly6-high monocytes
1838,3,Transitional B cells
1839,9,Mature B cells
1840,"16,2",Red-pulp macrophages
1841,5,Mature B cells
1842,14,Ifit3-high CD4 T cells
1843,13,B1 B cells
1844,7,Mature B cells
1845,0,CD4 T cells
1846,"20,0",Ly6-high monocytes
1847,0,CD4 T cells
1848,0,CD4 T cells
1849,2,CD8 T cells
