,leiden_subclusters,labels
240,1,Mature B cells
241,7,Mature B cells
242,0,CD4 T cells
243,7,Mature B cells
244,"12,0",NKT cells
245,"16,2",Red-pulp macrophages
246,11,MZ B cells
247,2,CD8 T cells
248,8,Ifit3-high B cells
249,"15,1",cDC1s
250,"12,0",NKT cells
251,9,Mature B cells
252,18,Ifit3-high CD8 T cells
253,0,CD4 T cells
254,2,CD8 T cells
255,2,CD8 T cells
256,3,Transitional B cells
257,5,Mature B cells
258,0,CD4 T cells
259,0,CD4 T cells
260,4,Mature B cells
261,"16,0",B-macrophage doublets
262,"20,1",Ly6-low monocytes
263,1,Mature B cells
264,"16,1",MZ/Marco-high macrophages
265,0,CD4 T cells
266,4,Mature B cells
267,8,Ifit3-high B cells
268,7,Mature B cells
269,8,Ifit3-high B cells
270,19,Cycling B/T cells
271,0,CD4 T cells
272,14,Ifit3-high CD4 T cells
273,1,Mature B cells
274,11,MZ B cells
275,6,CD122+ CD8 T cells
276,7,Mature B cells
277,"16,3",Erythrocytes
278,1,Mature B cells
279,7,Mature B cells
280,8,Ifit3-high B cells
281,6,CD122+ CD8 T cells
282,0,CD4 T cells
283,5,Mature B cells
284,2,CD8 T cells
285,0,CD4 T cells
286,2,CD8 T cells
287,9,Mature B cells
288,3,Transitional B cells
289,2,CD8 T cells
290,0,CD4 T cells
291,0,CD4 T cells
292,0,CD4 T cells
293,7,Mature B cells
294,3,Transitional B cells
295,6,CD122+ CD8 T cells
296,8,Ifit3-high B cells
297,1,Mature B cells
298,0,CD4 T cells
299,11,MZ B cells
300,"24,0",B-CD8 T cell doublets
301,0,CD4 T cells
302,0,CD4 T cells
303,"20,0",Ly6-high monocytes
304,2,CD8 T cells
305,11,MZ B cells
306,0,CD4 T cells
307,22,GD T cells
308,21,B doublets
309,6,CD122+ CD8 T cells
310,0,CD4 T cells
311,2,CD8 T cells
312,4,Mature B cells
313,0,CD4 T cells
314,13,B1 B cells
315,21,B doublets
316,2,CD8 T cells
317,18,Ifit3-high CD8 T cells
318,8,Ifit3-high B cells
319,7,Mature B cells
320,9,Mature B cells
321,9,Mature B cells
322,7,Mature B cells
323,8,Ifit3-high B cells
324,14,Ifit3-high CD4 T cells
325,3,Transitional B cells
326,7,Mature B cells
327,6,CD122+ CD8 T cells
328,9,Mature B cells
329,4,Mature B cells
330,2,CD8 T cells
331,9,Mature B cells
332,0,CD4 T cells
333,"10,1",ICOS-high Tregs
334,5,Mature B cells
335,1,Mature B cells
336,4,Mature B cells
337,1,Mature B cells
338,3,Transitional B cells
339,"12,0",NKT cells
340,5,Mature B cells
341,0,CD4 T cells
342,1,Mature B cells
343,2,CD8 T cells
344,3,Transitional B cells
345,1,Mature B cells
346,11,MZ B cells
347,2,CD8 T cells
348,1,Mature B cells
349,6,CD122+ CD8 T cells
350,5,Mature B cells
351,1,Mature B cells
352,2,CD8 T cells
353,19,Cycling B/T cells
354,4,Mature B cells
355,1,Mature B cells
