,totalVI-unions,totalVI-union
17,,0.14285714285714285
33,,0.16363636363636364
50,,0.1951219512195122
66,,0.21495327102803738
82,,0.22727272727272727
99,,0.2484076433121019
115,,0.2596685082872928
131,,0.2682926829268293
148,,0.2782608695652174
