,totalVI-union
17,-0.06466689879021208
33,-0.046202324150057074
50,-0.03795035899478125
66,-0.032396676874637
82,-0.029125506216916945
99,-0.027022805695130908
115,-0.024898484431731968
131,-0.020890444355336327
148,-0.020594498327827622
