,totalVI-unions,totalVI-union
11,,0.05263157894736842
22,,0.13513513513513514
33,,0.16363636363636364
44,,0.19444444444444445
55,,0.21348314606741572
66,,0.23809523809523808
76,,0.25
87,,0.2647058823529412
98,,0.2847682119205298
