"","x"
"312","AE000662.92"
"313","AE000662.93"
"314","AEBP1"
"315","AEBP2"
"316","AEN"
"317","AES"
"318","AF001548.5"
"319","AF131217.1"
"320","AF196972.9"
"321","AF213884.2"
"322","AFAP1"
"323","AFAP1L2"
"324","AFF1"
"325","AFF3"
"326","AFF4"
"327","AFG3L2"
"328","AFMID"
"329","AFTPH"
"330","AGA"
"331","AGAP1"
"332","AGAP2"
"333","AGAP3"
"334","AGAP6"
"335","AGBL2"
"336","AGBL3"
"337","AGBL5"
"338","AGER"
"339","AGFG1"
"340","AGFG2"
"341","AGGF1"
"342","AGK"
"343","AGL"
"344","AGMAT"
"345","AGO1"
"346","AGO2"
"347","AGO3"
"348","AGO4"
"349","AGPAT1"
"350","AGPAT2"
"351","AGPAT3"
"352","AGPAT4"
"353","AGPAT5"
"354","AGPS"
"355","AGTPBP1"
"356","AGTRAP"
"357","AHCTF1"
"358","AHCY"
"359","AHCYL1"
"360","AHCYL2"
"361","AHDC1"
"362","AHI1"
"363","AHNAK"
"364","AHR"
"365","AHSA1"
"366","AHSA2"
"367","AIDA"
"368","AIF1"
"369","AIFM1"
"370","AIFM2"
"371","AIFM3"
"372","AIG1"
"373","AIM1"
"374","AIM1L"
"375","AIM2"
"376","AIMP1"
"377","AIMP2"
"378","AIP"
"379","AK1"
"380","AK2"
"381","AK3"
"382","AK5"
"383","AK9"
"384","AKAP1"
"385","AKAP10"
"386","AKAP11"
"387","AKAP13"
"388","AKAP17A"
"389","AKAP5"
"390","AKAP7"
"391","AKAP8"
"392","AKAP8L"
"393","AKAP9"
"394","AKIP1"
"395","AKIRIN1"
"396","AKIRIN2"
"397","AKNA"
"398","AKR1A1"
"399","AKR1B1"
"400","AKR1C3"
"401","AKR7A2"
"402","AKT1"
"403","AKT1S1"
"404","AKT2"
"405","AKT3"
"406","AKTIP"
"407","AL022341.3"
"408","AL133245.2"
"409","AL592183.1"
"410","ALAD"
"411","ALAS1"
"412","ALCAM"
"413","ALDH16A1"
"414","ALDH18A1"
"415","ALDH1A1"
"416","ALDH1B1"
"417","ALDH2"
"418","ALDH3A2"
"419","ALDH3B1"
"420","ALDH4A1"
"421","ALDH5A1"
"422","ALDH6A1"
"423","ALDH7A1"
"424","ALDH9A1"
"425","ALDOA"
"426","ALDOC"
"427","ALG1"
"428","ALG10"
