"","x"
"3026","EAF2"
"3027","EAPP"
"3028","EARS2"
"3029","EBAG9"
"3030","EBF1"
"3031","EBLN2"
"3032","EBNA1BP2"
"3033","EBP"
"3034","EBPL"
"3035","ECD"
"3036","ECE1"
"3037","ECE2"
"3038","ECH1"
"3039","ECHDC1"
"3040","ECHDC2"
"3041","ECHDC3"
"3042","ECHS1"
"3043","ECI1"
"3044","ECI2"
"3045","ECSIT"
"3046","ECT2"
"3047","EDA"
"3048","EDARADD"
"3049","EDC3"
"3050","EDEM1"
"3051","EDEM2"
"3052","EDEM3"
"3053","EDF1"
"3054","EEA1"
"3055","EED"
"3056","EEF1A1"
"3057","EEF1B2"
"3058","EEF1D"
"3059","EEF1E1"
"3060","EEF2"
"3061","EEF2K"
"3062","EEFSEC"
"3063","EEPD1"
"3064","EFCAB11"
"3065","EFCAB13"
"3066","EFCAB14"
"3067","EFCAB2"
"3068","EFCAB7"
"3069","EFEMP2"
"3070","EFHC1"
"3071","EFHC2"
"3072","EFHD2"
"3073","EFNA1"
"3074","EFNA4"
"3075","EFNB1"
"3076","EFR3A"
"3077","EFTUD1"
"3078","EFTUD2"
"3079","EGFL7"
"3080","EGLN1"
"3081","EGLN2"
"3082","EGLN3"
"3083","EGR1"
"3084","EHBP1"
"3085","EHBP1L1"
"3086","EHD1"
"3087","EHD3"
"3088","EHD4"
"3089","EHHADH"
"3090","EHMT1"
"3091","EHMT2"
"3092","EI24"
"3093","EID1"
"3094","EID2"
"3095","EID2B"
"3096","EID3"
"3097","EIF1"
"3098","EIF1AD"
"3099","EIF1AX"
"3100","EIF1B"
"3101","EIF2A"
"3102","EIF2AK1"
"3103","EIF2AK2"
"3104","EIF2AK3"
"3105","EIF2AK4"
"3106","EIF2B1"
"3107","EIF2B2"
"3108","EIF2B3"
"3109","EIF2B4"
"3110","EIF2B5"
"3111","EIF2D"
"3112","EIF2S1"
"3113","EIF2S2"
"3114","EIF2S3"
"3115","EIF3A"
"3116","EIF3B"
"3117","EIF3D"
"3118","EIF3E"
"3119","EIF3F"
"3120","EIF3G"
"3121","EIF3H"
"3122","EIF3I"
"3123","EIF3J"
"3124","EIF3J-AS1"
"3125","EIF3K"
"3126","EIF3L"
"3127","EIF3M"
"3128","EIF4A1"
"3129","EIF4A2"
"3130","EIF4A3"
"3131","EIF4B"
"3132","EIF4E"
"3133","EIF4E2"
"3134","EIF4E3"
"3135","EIF4EBP1"
"3136","EIF4EBP2"
"3137","EIF4EBP3"
"3138","EIF4ENIF1"
"3139","EIF4G1"
"3140","EIF4G2"
"3141","EIF4G3"
"3142","EIF4H"
"3143","EIF5"
"3144","EIF5A"
"3145","EIF5A2"
"3146","EIF5B"
"3147","EIF6"
"3148","ELAC1"
"3149","ELAC2"
"3150","ELANE"
"3151","ELAVL1"
"3152","ELF1"
"3153","ELF2"
"3154","ELF4"
"3155","ELK1"
"3156","ELK3"
"3157","ELK4"
"3158","ELL"
"3159","ELL2"
"3160","ELMO1"
"3161","ELMO2"
"3162","ELMO3"
"3163","ELMOD2"
"3164","ELMOD3"
"3165","ELMSAN1"
"3166","ELOF1"
"3167","ELOVL1"
"3168","ELOVL5"
"3169","ELOVL6"
"3170","ELP2"
"3171","ELP3"
"3172","ELP4"
"3173","ELP5"
"3174","ELP6"
"3175","EMB"
"3176","EMC1"
"3177","EMC10"
"3178","EMC2"
"3179","EMC3"
"3180","EMC4"
"3181","EMC6"
"3182","EMC7"
"3183","EMC8"
"3184","EMC9"
"3185","EMD"
"3186","EME2"
"3187","EMG1"
"3188","EMILIN2"
"3189","EML2"
"3190","EML3"
"3191","EML4"
"3192","EMP1"
"3193","EMP3"
"3194","ENAH"
"3195","ENC1"
"3196","ENDOD1"
"3197","ENDOG"
"3198","ENDOV"
"3199","ENG"
"3200","ENGASE"
"3201","ENHO"
"3202","ENKD1"
"3203","ENO1"
"3204","ENO1-AS1"
"3205","ENO2"
"3206","ENO3"
"3207","ENOPH1"
"3208","ENOSF1"
"3209","ENOX2"
"3210","ENPP2"
"3211","ENPP4"
"3212","ENPP5"
"3213","ENSA"
"3214","ENTHD2"
"3215","ENTPD1"
"3216","ENTPD1-AS1"
"3217","ENTPD3-AS1"
"3218","ENTPD4"
"3219","ENTPD5"
"3220","ENTPD6"
"3221","ENTPD7"
"3222","ENY2"
"3223","EOGT"
"3224","EOMES"
"3225","EP300"
"3226","EP400"
"3227","EP400NL"
"3228","EPB41"
"3229","EPB41L2"
"3230","EPB41L3"
"3231","EPB41L4A"
"3232","EPB41L4A-AS1"
"3233","EPB41L5"
"3234","EPB42"
"3235","EPC1"
"3236","EPC2"
"3237","EPDR1"
"3238","EPG5"
"3239","EPHA1"
"3240","EPHA1-AS1"
"3241","EPHA4"
"3242","EPHB4"
"3243","EPHB6"
"3244","EPHX1"
"3245","EPHX2"
"3246","EPHX4"
"3247","EPM2A"
"3248","EPM2AIP1"
"3249","EPN1"
"3250","EPN2"
"3251","EPOR"
"3252","EPPK1"
"3253","EPRS"
"3254","EPS15"
"3255","EPS15L1"
"3256","EPS8"
"3257","EPS8L1"
"3258","EPS8L2"
"3259","EPSTI1"
"3260","EPT1"
"3261","ERAL1"
"3262","ERAP1"
"3263","ERAP2"
"3264","ERBB2"
"3265","ERBB2IP"
"3266","ERBB3"
"3267","ERC1"
"3268","ERCC1"
"3269","ERCC2"
"3270","ERCC3"
"3271","ERCC4"
"3272","ERCC5"
"3273","ERCC6"
"3274","ERCC6L2"
"3275","ERCC8"
"3276","EREG"
"3277","ERF"
"3278","ERGIC1"
"3279","ERGIC2"
"3280","ERGIC3"
"3281","ERH"
"3282","ERI1"
"3283","ERI2"
"3284","ERI3"
"3285","ERICH1"
"3286","ERLEC1"
"3287","ERLIN1"
"3288","ERLIN2"
"3289","ERMAP"
"3290","ERMARD"
"3291","ERMN"
"3292","ERMP1"
"3293","ERN1"
"3294","ERP27"
"3295","ERP29"
"3296","ERP44"
"3297","ERRFI1"
"3298","ERV3-1"
"3299","ERVK3-1"
"3300","ESAM"
"3301","ESCO1"
"3302","ESCO2"
"3303","ESD"
"3304","ESF1"
"3305","ESPN"
"3306","ESR2"
"3307","ESRRA"
"3308","ESYT1"
"3309","ESYT2"
"3310","ETAA1"
"3311","ETF1"
"3312","ETFA"
"3313","ETFB"
"3314","ETFDH"
"3315","ETHE1"
"3316","ETNK1"
"3317","ETS1"
"3318","ETS2"
"3319","ETV2"
"3320","ETV3"
"3321","ETV5"
"3322","ETV6"
"3323","EVA1B"
"3324","EVA1C"
"3325","EVI2A"
"3326","EVI2B"
"3327","EVI5"
"3328","EVI5L"
"3329","EVL"
"3330","EWSR1"
"3331","EXD2"
"3332","EXD3"
"3333","EXO5"
"3334","EXOC1"
"3335","EXOC2"
"3336","EXOC3"
"3337","EXOC4"
"3338","EXOC5"
"3339","EXOC6"
"3340","EXOC6B"
"3341","EXOC7"
"3342","EXOC8"
"3343","EXOG"
"3344","EXOSC1"
"3345","EXOSC10"
"3346","EXOSC2"
"3347","EXOSC3"
"3348","EXOSC4"
"3349","EXOSC5"
"3350","EXOSC6"
"3351","EXOSC7"
"3352","EXOSC8"
"3353","EXOSC9"
"3354","EXPH5"
"3355","EXT1"
"3356","EXT2"
"3357","EXTL2"
"3358","EXTL3"
"3359","EYA3"
"3360","EZH1"
"3361","EZH2"
"3362","EZR"
"3363","F13A1"
"3364","F2R"
"3365","F2RL1"
"3366","F8A1"
"3367","FAAH"
"3368","FAAH2"
"3369","FADD"
"3370","FADS1"
"3371","FADS2"
"3372","FADS3"
"3373","FAF1"
"3374","FAF2"
"3375","FAH"
"3376","FAHD1"
"3377","FAHD2A"
"3378","FAHD2B"
"3379","FAIM"
"3380","FAM101B"
"3381","FAM102A"
"3382","FAM102B"
"3383","FAM103A1"
"3384","FAM104A"
"3385","FAM104B"
"3386","FAM105A"
"3387","FAM107B"
"3388","FAM109A"
"3389","FAM109B"
"3390","FAM110A"
"3391","FAM110B"
"3392","FAM111A"
"3393","FAM111B"
"3394","FAM114A1"
"3395","FAM114A2"
"3396","FAM117A"
"3397","FAM117B"
"3398","FAM118A"
"3399","FAM118B"
"3400","FAM120A"
"3401","FAM120AOS"
"3402","FAM120B"
"3403","FAM120C"
"3404","FAM122A"
"3405","FAM122B"
"3406","FAM122C"
"3407","FAM124B"
"3408","FAM126A"
"3409","FAM126B"
"3410","FAM127A"
"3411","FAM127B"
"3412","FAM129A"
"3413","FAM129B"
"3414","FAM129C"
"3415","FAM131A"
"3416","FAM132A"
"3417","FAM132B"
"3418","FAM133B"
"3419","FAM134A"
"3420","FAM134B"
"3421","FAM134C"
"3422","FAM135A"
"3423","FAM136A"
"3424","FAM13A"
"3425","FAM13A-AS1"
"3426","FAM13B"
"3427","FAM149B1"
"3428","FAM153A"
"3429","FAM157C"
"3430","FAM159A"
"3431","FAM160A2"
"3432","FAM160B1"
"3433","FAM160B2"
"3434","FAM161A"
"3435","FAM161B"
"3436","FAM162A"
"3437","FAM167B"
"3438","FAM168A"
"3439","FAM168B"
"3440","FAM169A"
"3441","FAM171A1"
"3442","FAM172A"
"3443","FAM173A"
"3444","FAM173B"
"3445","FAM174A"
"3446","FAM174B"
"3447","FAM175A"
"3448","FAM175B"
"3449","FAM177A1"
"3450","FAM178B"
"3451","FAM179A"
"3452","FAM179B"
"3453","FAM184A"
"3454","FAM184B"
"3455","FAM185A"
"3456","FAM188A"
"3457","FAM189B"
"3458","FAM192A"
"3459","FAM193A"
"3460","FAM193B"
"3461","FAM195A"
"3462","FAM195B"
"3463","FAM198B"
"3464","FAM199X"
"3465","FAM19A1"
"3466","FAM19A2"
"3467","FAM200A"
"3468","FAM200B"
"3469","FAM204A"
"3470","FAM206A"
"3471","FAM207A"
"3472","FAM208A"
"3473","FAM208B"
"3474","FAM209A"
"3475","FAM20B"
"3476","FAM20C"
"3477","FAM210A"
"3478","FAM210B"
"3479","FAM212A"
"3480","FAM212B"
"3481","FAM213A"
"3482","FAM213B"
"3483","FAM214A"
"3484","FAM214B"
"3485","FAM216A"
"3486","FAM217B"
"3487","FAM218A"
"3488","FAM219A"
"3489","FAM219B"
"3490","FAM21C"
"3491","FAM220A"
"3492","FAM221A"
"3493","FAM222B"
"3494","FAM227B"
"3495","FAM228B"
"3496","FAM229A"
"3497","FAM229B"
"3498","FAM24B"
"3499","FAM26F"
"3500","FAM32A"
"3501","FAM35A"
"3502","FAM3A"
"3503","FAM3C"
"3504","FAM43A"
"3505","FAM45A"
"3506","FAM46A"
"3507","FAM46C"
"3508","FAM49A"
"3509","FAM49B"
"3510","FAM50A"
"3511","FAM50B"
"3512","FAM53A"
"3513","FAM53B"
"3514","FAM53C"
"3515","FAM58A"
"3516","FAM60A"
"3517","FAM63A"
"3518","FAM63B"
"3519","FAM65A"
"3520","FAM65B"
"3521","FAM65C"
"3522","FAM66C"
"3523","FAM69A"
"3524","FAM69B"
"3525","FAM73A"
"3526","FAM73B"
"3527","FAM76A"
"3528","FAM76B"
"3529","FAM78A"
"3530","FAM83G"
"3531","FAM84B"
"3532","FAM86C1"
"3533","FAM89A"
"3534","FAM89B"
"3535","FAM8A1"
"3536","FAM91A1"
"3537","FAM92A1"
"3538","FAM96A"
"3539","FAM96B"
"3540","FAM98A"
"3541","FAM98B"
"3542","FAM98C"
"3543","FAN1"
"3544","FANCA"
"3545","FANCB"
"3546","FANCC"
"3547","FANCD2"
"3548","FANCE"
"3549","FANCF"
"3550","FANCG"
"3551","FANCI"
"3552","FANCL"
"3553","FANCM"
"3554","FAR1"
"3555","FAR2"
"3556","FARP2"
"3557","FARS2"
"3558","FARSA"
"3559","FARSB"
"3560","FAS"
"3561","FASLG"
"3562","FASN"
"3563","FASTK"
"3564","FASTKD1"
"3565","FASTKD2"
"3566","FASTKD3"
"3567","FASTKD5"
"3568","FAU"
"3569","FAXDC2"
"3570","FBF1"
"3571","FBL"
"3572","FBLN2"
"3573","FBLN5"
"3574","FBLN7"
"3575","FBN2"
"3576","FBP1"
"3577","FBRS"
"3578","FBRSL1"
"3579","FBXL12"
"3580","FBXL14"
"3581","FBXL15"
"3582","FBXL16"
"3583","FBXL17"
"3584","FBXL18"
"3585","FBXL19"
"3586","FBXL20"
"3587","FBXL22"
"3588","FBXL3"
"3589","FBXL4"
"3590","FBXL5"
"3591","FBXL6"
"3592","FBXL8"
"3593","FBXO10"
"3594","FBXO11"
"3595","FBXO15"
"3596","FBXO18"
"3597","FBXO2"
"3598","FBXO21"
"3599","FBXO22"
"3600","FBXO25"
"3601","FBXO28"
"3602","FBXO3"
"3603","FBXO30"
"3604","FBXO31"
"3605","FBXO32"
"3606","FBXO33"
"3607","FBXO34"
"3608","FBXO36"
"3609","FBXO38"
"3610","FBXO4"
"3611","FBXO41"
"3612","FBXO42"
"3613","FBXO44"
"3614","FBXO45"
"3615","FBXO46"
"3616","FBXO48"
"3617","FBXO5"
"3618","FBXO6"
"3619","FBXO7"
"3620","FBXO8"
"3621","FBXO9"
"3622","FBXW11"
"3623","FBXW2"
"3624","FBXW4"
"3625","FBXW5"
"3626","FBXW7"
"3627","FBXW8"
"3628","FBXW9"
"3629","FCAR"
"3630","FCER1A"
"3631","FCER1G"
"3632","FCER2"
"3633","FCF1"
"3634","FCGBP"
"3635","FCGR1A"
"3636","FCGR1B"
"3637","FCGR2A"
"3638","FCGR2B"
"3639","FCGR3A"
"3640","FCGRT"
"3641","FCHO1"
"3642","FCHO2"
"3643","FCHSD1"
"3644","FCHSD2"
"3645","FCN1"
"3646","FCRL1"
"3647","FCRL2"
"3648","FCRL3"
"3649","FCRL5"
"3650","FCRL6"
"3651","FCRLA"
"3652","FCRLB"
"3653","FDFT1"
"3654","FDPS"
"3655","FDX1"
"3656","FDX1L"
"3657","FDXACB1"
"3658","FDXR"
"3659","FECH"
"3660","FEM1A"
"3661","FEM1B"
"3662","FEM1C"
"3663","FEN1"
"3664","FER"
"3665","FERMT3"
"3666","FES"
"3667","FEZ1"
"3668","FEZ2"
"3669","FGD2"
"3670","FGD3"
"3671","FGD4"
"3672","FGD5-AS1"
"3673","FGD6"
"3674","FGF14-AS2"
"3675","FGFBP2"
"3676","FGFBP3"
"3677","FGFR1"
"3678","FGFR1OP"
"3679","FGFR1OP2"
"3680","FGFRL1"
"3681","FGGY"
"3682","FGL2"
"3683","FGR"
"3684","FH"
"3685","FHIT"
"3686","FHL1"
"3687","FHL2"
"3688","FHL3"
"3689","FHOD1"
"3690","FIBP"
"3691","FICD"
"3692","FIG4"
"3693","FIGNL1"
"3694","FILIP1L"
"3695","FIP1L1"
"3696","FIS1"
"3697","FITM1"
"3698","FITM2"
"3699","FIZ1"
"3700","FKBP11"
"3701","FKBP14"
"3702","FKBP15"
"3703","FKBP1A"
"3704","FKBP1B"
"3705","FKBP2"
"3706","FKBP3"
"3707","FKBP4"
"3708","FKBP5"
"3709","FKBP7"
"3710","FKBP8"
"3711","FKBPL"
"3712","FKRP"
"3713","FKTN"
"3714","FLAD1"
"3715","FLCN"
"3716","FLI1"
"3717","FLII"
"3718","FLNA"
"3719","FLNB"
"3720","FLOT1"
"3721","FLOT2"
"3722","FLT1"
"3723","FLT3"
"3724","FLT3LG"
"3725","FLVCR1"
"3726","FLVCR1-AS1"
"3727","FLVCR2"
"3728","FLYWCH1"
"3729","FLYWCH2"
"3730","FMN1"
"3731","FMNL1"
"3732","FMNL2"
"3733","FMNL3"
"3734","FMO4"
"3735","FMO5"
"3736","FMR1"
"3737","FN1"
"3738","FN3K"
"3739","FN3KRP"
"3740","FNBP1"
"3741","FNBP1L"
"3742","FNBP4"
"3743","FNDC3A"
"3744","FNDC3B"
"3745","FNIP1"
"3746","FNIP2"
"3747","FNTA"
"3748","FNTB"
"3749","FOCAD"
"3750","FOLR2"
"3751","FOLR3"
"3752","FOPNL"
"3753","FOS"
"3754","FOSB"
"3755","FOSL1"
"3756","FOSL2"
"3757","FOXD2-AS1"
"3758","FOXJ1"
"3759","FOXJ2"
"3760","FOXJ3"
"3761","FOXK1"
"3762","FOXK2"
"3763","FOXM1"
"3764","FOXN2"
"3765","FOXN3"
"3766","FOXN3-AS1"
"3767","FOXO1"
"3768","FOXO3"
"3769","FOXO4"
"3770","FOXP1"
"3771","FOXP4"
"3772","FOXRED1"
"3773","FOXRED2"
"3774","FPGS"
"3775","FPGT"
"3776","FPR1"
"3777","FPR2"
"3778","FRA10AC1"
"3779","FRAT1"
"3780","FRAT2"
"3781","FRG1"
"3782","FRMD3"
"3783","FRMD4B"
"3784","FRMD8"
"3785","FRS2"
"3786","FRS3"
"3787","FRY"
"3788","FRY-AS1"
"3789","FRYL"
"3790","FSCN1"
"3791","FSCN3"
"3792","FSD1"
"3793","FSD1L"
"3794","FSIP1"
"3795","FSTL3"
"3796","FTCDNL1"
"3797","FTH1"
"3798","FTL"
"3799","FTO"
"3800","FTSJ1"
"3801","FTSJ2"
"3802","FTSJ3"
"3803","FTX"
"3804","FUBP1"
"3805","FUBP3"
"3806","FUCA1"
"3807","FUCA2"
"3808","FUK"
"3809","FUNDC1"
"3810","FUNDC2"
"3811","FUOM"
"3812","FURIN"
"3813","FUS"
"3814","FUT10"
"3815","FUT11"
"3816","FUT4"
"3817","FUT7"
"3818","FUT8"
"3819","FUZ"
"3820","FXN"
"3821","FXR1"
"3822","FXR2"
"3823","FXYD2"
"3824","FXYD5"
"3825","FXYD6"
"3826","FXYD7"
"3827","FYB"
"3828","FYCO1"
"3829","FYN"
"3830","FYTTD1"
"3831","FZD1"
"3832","FZD2"
"3833","FZD3"
"3834","FZD6"
"3835","FZR1"
"3836","G0S2"
"3837","G2E3"
"3838","G3BP1"
"3839","G3BP2"
"3840","G6PC3"
"3841","G6PD"
"3842","GAA"
"3843","GAB1"
"3844","GAB2"
"3845","GAB3"
"3846","GABARAP"
"3847","GABARAPL1"
"3848","GABARAPL2"
"3849","GABBR1"
"3850","GABPA"
"3851","GABPB1"
"3852","GABPB1-AS1"
"3853","GABPB2"
"3854","GADD45A"
"3855","GADD45B"
"3856","GADD45G"
"3857","GADD45GIP1"
"3858","GAK"
"3859","GAL3ST4"
"3860","GALC"
"3861","GALE"
"3862","GALK1"
"3863","GALK2"
"3864","GALM"
"3865","GALNS"
"3866","GALNT1"
"3867","GALNT10"
"3868","GALNT11"
"3869","GALNT12"
"3870","GALNT2"
"3871","GALNT3"
"3872","GALNT6"
"3873","GALNT7"
"3874","GAMT"
"3875","GAN"
"3876","GANAB"
"3877","GANC"
"3878","GAPDH"
"3879","GAPT"
"3880","GAPVD1"
"3881","GAR1"
"3882","GARS"
"3883","GART"
"3884","GAS2L1"
"3885","GAS6"
"3886","GAS7"
"3887","GAS8"
"3888","GATA2"
"3889","GATA3"
"3890","GATAD1"
"3891","GATAD2A"
"3892","GATAD2B"
"3893","GATC"
"3894","GATM"
"3895","GATS"
"3896","GATSL3"
"3897","GBA"
"3898","GBA2"
"3899","GBAS"
"3900","GBE1"
"3901","GBF1"
"3902","GBGT1"
"3903","GBP1"
"3904","GBP2"
"3905","GBP3"
"3906","GBP4"
"3907","GBP5"
"3908","GCA"
"3909","GCAT"
"3910","GCC1"
"3911","GCC2"
"3912","GCDH"
"3913","GCFC2"
"3914","GCH1"
"3915","GCHFR"
"3916","GCLC"
"3917","GCLM"
"3918","GCNT1"
"3919","GCNT2"
"3920","GCNT4"
"3921","GCSAM"
"3922","GCSH"
"3923","GDAP1"
"3924","GDAP2"
"3925","GDE1"
"3926","GDF11"
"3927","GDI1"
"3928","GDI2"
"3929","GDPD1"
"3930","GDPD3"
"3931","GDPD5"
"3932","GEMIN2"
"3933","GEMIN4"
"3934","GEMIN5"
"3935","GEMIN6"
"3936","GEMIN7"
"3937","GEMIN8"
"3938","GEN1"
"3939","GFER"
"3940","GFI1"
"3941","GFI1B"
"3942","GFM1"
"3943","GFM2"
"3944","GFOD1"
"3945","GFOD2"
"3946","GFPT1"
"3947","GGA1"
"3948","GGA2"
"3949","GGA3"
"3950","GGACT"
"3951","GGCT"
"3952","GGCX"
"3953","GGH"
"3954","GGNBP2"
"3955","GGPS1"
"3956","GGT7"
"3957","GHDC"
"3958","GHITM"
"3959","GHRL"
"3960","GHRLOS"
"3961","GID4"
"3962","GID8"
"3963","GIGYF1"
"3964","GIGYF2"
"3965","GIMAP1"
"3966","GIMAP2"
"3967","GIMAP4"
"3968","GIMAP5"
"3969","GIMAP6"
"3970","GIMAP7"
"3971","GIMAP8"
"3972","GIN1"
"3973","GINM1"
"3974","GINS1"
"3975","GINS2"
"3976","GINS3"
"3977","GINS4"
"3978","GIPC1"
"3979","GIPR"
"3980","GIT1"
"3981","GIT2"
"3982","GK"
"3983","GK5"
"3984","GKAP1"
"3985","GLA"
"3986","GLB1"
"3987","GLB1L"
"3988","GLCCI1"
"3989","GLCE"
"3990","GLE1"
"3991","GLG1"
"3992","GLI4"
"3993","GLIPR1"
"3994","GLIPR1L2"
"3995","GLIPR2"
"3996","GLMN"
"3997","GLO1"
"3998","GLOD4"
"3999","GLRX"
"4000","GLRX2"
"4001","GLRX3"
"4002","GLRX5"
"4003","GLS"
"4004","GLS2"
"4005","GLT1D1"
"4006","GLT8D1"
"4007","GLTP"
"4008","GLTSCR1"
"4009","GLTSCR1L"
"4010","GLTSCR2"
"4011","GLUD1"
"4012","GLUL"
"4013","GLYCTK"
"4014","GLYR1"
"4015","GM2A"
"4016","GMCL1"
"4017","GMDS"
"4018","GMDS-AS1"
"4019","GMEB1"
"4020","GMEB2"
"4021","GMFB"
"4022","GMFG"
"4023","GMIP"
"4024","GMNN"
"4025","GMPPA"
"4026","GMPPB"
"4027","GMPR"
"4028","GMPR2"
"4029","GMPS"
"4030","GNA11"
"4031","GNA12"
"4032","GNA13"
"4033","GNA15"
"4034","GNAI1"
"4035","GNAI2"
"4036","GNAI3"
"4037","GNAL"
"4038","GNAQ"
"4039","GNAS"
"4040","GNAZ"
"4041","GNB1"
"4042","GNB1L"
"4043","GNB2"
"4044","GNB2L1"
"4045","GNB4"
"4046","GNB5"
"4047","GNE"
"4048","GNG11"
"4049","GNG2"
"4050","GNG5"
"4051","GNG7"
"4052","GNGT2"
"4053","GNL1"
"4054","GNL2"
"4055","GNL3"
"4056","GNL3L"
"4057","GNLY"
"4058","GNMT"
"4059","GNPAT"
"4060","GNPDA1"
"4061","GNPDA2"
"4062","GNPNAT1"
"4063","GNPTAB"
"4064","GNPTG"
"4065","GNRH1"
"4066","GNS"
"4067","GOLGA1"
"4068","GOLGA2"
"4069","GOLGA3"
"4070","GOLGA4"
"4071","GOLGA5"
"4072","GOLGA7"
"4073","GOLGA7B"
"4074","GOLGA8A"
"4075","GOLGA8B"
"4076","GOLGB1"
"4077","GOLIM4"
"4078","GOLM1"
"4079","GOLPH3"
"4080","GOLPH3L"
"4081","GOLT1B"
"4082","GON4L"
"4083","GOPC"
"4084","GORAB"
"4085","GORASP1"
"4086","GORASP2"
"4087","GOSR1"
"4088","GOSR2"
"4089","GOT1"
"4090","GOT2"
"4091","GP1BA"
"4092","GP6"
"4093","GPA33"
"4094","GPAA1"
"4095","GPALPP1"
"4096","GPAM"
"4097","GPANK1"
"4098","GPATCH1"
"4099","GPATCH11"
"4100","GPATCH2"
"4101","GPATCH2L"
"4102","GPATCH3"
"4103","GPATCH4"
"4104","GPATCH8"
"4105","GPBAR1"
"4106","GPBP1"
"4107","GPBP1L1"
"4108","GPC2"
"4109","GPCPD1"
"4110","GPD1L"
"4111","GPD2"
"4112","GPHN"
"4113","GPI"
"4114","GPKOW"
"4115","GPLD1"
"4116","GPM6B"
"4117","GPN1"
"4118","GPN2"
"4119","GPN3"
"4120","GPR107"
"4121","GPR108"
"4122","GPR132"
"4123","GPR137"
"4124","GPR137B"
"4125","GPR137C"
"4126","GPR141"
"4127","GPR146"
"4128","GPR150"
"4129","GPR153"
"4130","GPR155"
"4131","GPR157"
"4132","GPR160"
"4133","GPR162"
"4134","GPR171"
"4135","GPR174"
"4136","GPR18"
"4137","GPR180"
"4138","GPR183"
"4139","GPR27"
"4140","GPR34"
"4141","GPR35"
"4142","GPR55"
"4143","GPR65"
"4144","GPR68"
"4145","GPR82"
"4146","GPR89A"
"4147","GPRASP1"
"4148","GPRASP2"
"4149","GPRC5C"
"4150","GPRIN3"
"4151","GPS1"
"4152","GPS2"
"4153","GPSM2"
"4154","GPSM3"
"4155","GPT2"
"4156","GPX1"
"4157","GPX3"
"4158","GPX4"
"4159","GPX7"
"4160","GRAMD1A"
"4161","GRAMD1B"
"4162","GRAMD3"
"4163","GRAMD4"
"4164","GRAP"
"4165","GRAP2"
"4166","GRASP"
"4167","GRB10"
"4168","GRB2"
"4169","GRHPR"
"4170","GRIK4"
"4171","GRIN2C"
"4172","GRINA"
"4173","GRIP1"
"4174","GRIPAP1"
"4175","GRK4"
"4176","GRK5"
"4177","GRK6"
"4178","GRN"
"4179","GRPEL1"
"4180","GRPEL2"
"4181","GRSF1"
"4182","GRWD1"
"4183","GS1-124K5.11"
"4184","GS1-124K5.3"
"4185","GS1-124K5.4"
"4186","GSAP"
"4187","GSDMB"
"4188","GSDMD"
"4189","GSE1"
"4190","GSK3A"
"4191","GSK3B"
"4192","GSKIP"
"4193","GSN"
"4194","GSPT1"
"4195","GSPT2"
"4196","GSR"
"4197","GSS"
"4198","GSTA4"
"4199","GSTCD"
"4200","GSTK1"
"4201","GSTM2"
"4202","GSTM3"
"4203","GSTM4"
"4204","GSTO1"
"4205","GSTO2"
"4206","GSTP1"
"4207","GSTZ1"
"4208","GTDC1"
"4209","GTF2A1"
"4210","GTF2A2"
"4211","GTF2B"
"4212","GTF2E1"
"4213","GTF2E2"
"4214","GTF2F1"
"4215","GTF2F2"
"4216","GTF2H1"
"4217","GTF2H2"
"4218","GTF2H2C"
"4219","GTF2H3"
"4220","GTF2H5"
"4221","GTF2I"
"4222","GTF2IRD2"
"4223","GTF2IRD2B"
"4224","GTF3A"
"4225","GTF3C1"
"4226","GTF3C2"
"4227","GTF3C3"
"4228","GTF3C4"
"4229","GTF3C5"
"4230","GTF3C6"
"4231","GTPBP1"
"4232","GTPBP10"
"4233","GTPBP2"
"4234","GTPBP3"
"4235","GTPBP4"
"4236","GTPBP6"
"4237","GTPBP8"
"4238","GTSE1"
"4239","GTSF1"
"4240","GUCD1"
"4241","GUCY1A3"
"4242","GUCY1B3"
"4243","GUCY2D"
"4244","GUF1"
"4245","GUK1"
"4246","GUSB"
"4247","GXYLT1"
"4248","GYG1"
"4249","GYLTL1B"
"4250","GYPC"
"4251","GYS1"
"4252","GZF1"
"4253","GZMA"
"4254","GZMB"
"4255","GZMH"
"4256","GZMK"
"4257","GZMM"
"4258","H1F0"
"4259","H1FX"
"4260","H1FX-AS1"
"4261","H2AFJ"
"4262","H2AFV"
"4263","H2AFX"
"4264","H2AFY"
"4265","H2AFY2"
"4266","H2AFZ"
"4267","H3F3A"
"4268","H3F3B"
"4269","H3F3C"
"4270","H6PD"
"4271","HAAO"
"4272","HABP4"
"4273","HACE1"
"4274","HACL1"
"4275","HADH"
"4276","HADHA"
"4277","HADHB"
"4278","HAGH"
"4279","HAGHL"
"4280","HAL"
"4281","HAP1"
"4282","HAPLN3"
"4283","HAR1A"
"4284","HAR1B"
"4285","HARBI1"
"4286","HARS"
"4287","HARS2"
"4288","HAT1"
"4289","HAUS1"
"4290","HAUS2"
"4291","HAUS3"
"4292","HAUS4"
"4293","HAUS5"
"4294","HAUS6"
"4295","HAUS7"
"4296","HAUS8"
"4297","HAVCR2"
"4298","HAX1"
"4299","HBA1"
"4300","HBA2"
"4301","HBD"
"4302","HBEGF"
"4303","HBP1"
"4304","HBQ1"
"4305","HBS1L"
"4306","HCAR2"
"4307","HCCS"
"4308","HCFC1"
"4309","HCFC1R1"
"4310","HCFC2"
