TotalSeq_Barcode,name_206,name_111
0848,ADT_TIGIT(Vstm3)_A0848,NA
0875,ADT_TLR4(CD284)-MD2Complex_A0875,NA
0567,ADT_Tim-4_A0567,Tim-4_TotalA
0568,ADT_XCR1_A0568,XCR1_TotalA
0415,ADT_anti-P2RY12_A0415,P2RY12_TotalA
0214,ADT_integrinb7_A0214,integrin_b7_TotalA
0237,ADT_IsotypeCtrlAPCRatIgG1_l_A0237,NA
0241,ADT_IsotypeCtrlArm.HamsterIgG_A0241,NA
0090,ADT_IsotypeCtrlMouseIgG1_k(FC)_A0090,NA
0091,ADT_IsotypeCtrlMouseIgG2a_k_A0091,NA
0092,ADT_IsotypeCtrlMouseIgG2b_k_A0092,NA
0236,ADT_IsotypeCtrlRatIgG1_k_A0236,NA
0238,ADT_IsotypeCtrlRatIgG2a_k_A0238,NA
0095,ADT_IsotypeCtrlRatIgG2b_k_A0095,NA
0240,ADT_IsotypeCtrlRatIgG2c_k_A0240,NA
0301,HTO_B6_LN_r4_206_A0301,Hashtag1_CD45_TotalA
0302,HTO_B6_spl_r4_206_A0302,Hashtag2_CD45_TotalA
